Date,Close,High,Low,Open,Volume,RSI,SMA_20,SMA_50,MACD,MACD_SIGNAL
2023-03-15,150.94639587402344,151.2029174267054,147.91739708809698,149.17043689978033,77167900,59.145522242917245,148.29773712158206,142.7456880187988,2.01861571122339,2.360201706526334
2023-03-16,153.7681884765625,154.37004080347904,149.6144183096525,150.1274764543104,76161100,63.449892897397646,148.32339096069336,143.35682739257808,2.2616078971285276,2.3404829446467725
2023-03-17,152.92950439453125,154.64626683139153,152.21912097617263,153.99507952206918,98944600,61.37996771863273,148.38702926635742,143.92577682495116,2.359309507494686,2.344248257216355
2023-03-20,155.29747009277344,155.7118730486912,152.09088307007352,152.99860710640667,73641400,64.86513576674426,148.62628936767578,144.5684870910644,2.597867183766766,2.3949720425264376
2023-03-21,157.15235900878906,157.2707512481165,154.44895412275298,155.21854884327422,73938300,67.35063169912631,149.15907592773436,145.1576623535156,2.9031343686334026,2.4966045077478305
2023-03-22,155.7217254638672,159.97415053377057,155.7019884063488,157.17209056471103,75701800,63.61284285949474,149.59911804199217,145.7077828979492,2.9950950498470092,2.5963026161676663
2023-03-23,156.80702209472656,159.39203464017027,155.57371946683134,156.70836691747317,67622100,65.1910664879099,150.0692527770996,146.2681814575195,3.119588248702911,2.7009597426747156
2023-03-24,158.10940551757812,158.19819969843707,155.74147036488569,156.73797352277555,59196500,67.03863556232231,150.73720932006833,146.80024810791014,3.285468626282409,2.817861519396254
2023-03-27,156.16574096679688,158.6224856967079,155.76121401338384,157.80357078673757,52390300,61.76936788318426,151.24829177856446,147.29501831054685,3.2229404835683226,2.8988773122306677
2023-03-28,155.54409790039062,156.37288858285143,153.8964076451378,155.8598305517969,45992200,60.141191006202014,151.75345153808595,147.7507565307617,3.087632771203573,2.9366284040252486
2023-03-29,158.6224365234375,158.89869507550165,157.22140670798015,157.24112870815475,51305700,65.05356362506335,152.51612548828126,148.2448123168945,3.192001231204131,2.9877029694610253
2023-03-30,160.1912078857422,160.2997391161816,159.11577163727372,159.37229315696538,49501700,67.26754283038923,153.3276374816895,148.78462615966794,3.362539464024252,3.0626702683736706
2023-03-31,162.69728088378906,162.79595111857384,159.74723055627194,160.27014967971024,68749800,70.48446163116215,154.01187438964845,149.37337951660155,3.6577471566588713,3.1816856460307106
2023-04-03,163.9503173828125,164.06870961825848,162.02636828199599,162.07570339841976,56976200,71.96790747538294,154.62063140869142,149.93596588134764,3.9473088342102756,3.3348102836666236
2023-04-04,163.41754150390625,164.61137005549932,162.90448337873613,164.37458557847017,46278300,70.3489183654225,155.31276168823243,150.42406066894532,4.086689180023399,3.485186062937979
2023-04-05,161.572509765625,162.84528654392068,159.63869962188485,162.53942989245922,51511700,64.90366324365911,155.8499877929688,150.84727630615234,4.002136330184811,3.5885761163873457
2023-04-06,162.46047973632812,162.75647535534287,159.83600833200663,160.26025717712315,45390100,66.25735280510706,156.54408950805666,151.30145294189452,3.9611180400233934,3.6630845011145556
2023-04-10,159.86561584472656,159.86561584472656,157.94166678976978,159.26376357061562,47716900,59.085384752034365,157.21155242919926,151.66235595703125,3.6768425673187437,3.6658361143553932
2023-04-11,158.65206909179688,160.1912285181147,158.3659344224378,160.18136751588224,47644200,56.03076316272688,157.7211540222168,151.9601739501953,3.31541113043815,3.595751117571945
2023-04-12,157.96139526367188,159.8952052146149,157.64566258721274,159.0664295213536,50133100,54.30985704321127,158.09163818359374,152.3019073486328,2.9393594015167537,3.464472774360907
2023-04-13,163.3484649658203,163.58526449148977,159.26376724154565,159.47096870837692,68445600,63.67990640654895,158.71174163818358,152.72596557617186,3.0409727593535365,3.379772771359433
2023-04-14,163.0031280517578,164.09830125116352,161.63169630249857,162.39139978711486,49386500,62.79092770944997,159.1734886169434,153.12065612792966,3.058381160418918,3.3154944491713305
2023-04-17,163.0228729248047,163.1807392768596,161.83890539432053,162.8847436304976,41516200,62.82288431599604,159.67815704345702,153.40954376220702,3.038741964112944,3.2601439521596536
2023-04-18,164.246337890625,165.17378402192244,163.4372840126962,163.88128507276087,49923000,64.8380319273289,160.1256004333496,153.65039459228515,3.0863239361995056,3.2253799489676243
2023-04-19,165.3908233642578,165.91374248336922,163.32872989204589,163.58526647837797,47720200,66.6586457573588,160.53752365112305,153.9687112426758,3.1797294628112525,3.2162498517363503
2023-04-20,164.42388916015625,165.62759364761484,163.34845295487423,163.8713720291843,52456400,63.65962112057356,160.9726318359375,154.21015747070314,3.139539845295957,3.2009078504482718
2023-04-21,162.815673828125,164.22656472043278,162.2927547507698,162.84527188495923,58337300,58.912169760057374,161.27306442260743,154.4732278442383,2.943983339612913,3.1495229482812004
2023-04-24,163.1215362548828,163.38793383083043,161.70076925644653,162.79594256316088,41949600,59.530318342588274,161.52367095947267,154.76310302734376,2.7816191673278183,3.075942192090524
2023-04-25,161.58236694335938,164.08843103621228,161.5428928319972,162.98339679746925,48714100,55.042619422121305,161.79450225830078,155.01489349365238,2.4999286694065006,2.9607394875537194
2023-04-26,161.572509765625,163.07221001839787,160.625341751742,160.8818632857178,45498800,55.01401654395497,162.09592285156253,155.21044586181642,2.249955442675599,2.8185826785780956
2023-04-27,166.16041564941406,166.30840595665688,162.98342657757053,162.98342657757053,64902300,64.31014340957151,162.47282180786135,155.51058258056642,2.39445374929781,2.733756892722039
2023-04-28,167.41342163085938,167.5811640335514,165.63747792316207,166.23933019675923,55275900,66.35502586530038,162.8339324951172,155.79374877929686,2.580332344182068,2.703071983014045
2023-05-01,167.32461547851562,168.17312821243692,166.38730857655852,167.01875886308395,52472900,66.06610636739062,163.06529922485356,156.10710632324216,2.6894739736715962,2.700352381145555
2023-05-02,166.28863525390625,168.07446991146244,165.30199325866423,167.8179333575238,48425700,62.63964820471156,163.18221511840824,156.42263366699217,2.6616922241726684,2.692620349750978
2023-05-03,165.2132110595703,168.6368602354505,164.92709148440827,167.23583030731814,65136000,59.206824423945015,163.27199859619145,156.79696533203122,2.523804396678912,2.658857159136565
2023-05-04,163.57540893554688,164.80871172491695,162.1151826483231,162.6874369491867,81235400,54.324111998524046,163.37214355468754,157.13005584716794,2.256360437647146,2.5783578148386814
2023-05-05,171.25148010253906,171.97172463520235,168.4790030974248,168.6960655683585,113453200,67.74865379985293,163.81169357299805,157.60699890136718,2.633447224517397,2.589375696774425
